Name,Sex,Age,Height,Weight,Team
A Dijiang,M,24.0,180.0,80.0,China
A Lamusi,,23.0,170.0,60.0,
Gunnar Nielsen Aaby,,,,,Denmark
Edgar Lindenau Aabye,,34.0,,,Denmark/Sweden
Christine Jacoba Aaftink,F,21.0,185.0,82.0,Netherlands
,,25.0,,,
,,27.0,,,
Per Knut Aaland,,31.0,188.0,75.0,United States
,,33.0,,,
John Aalberg,,,183.0,72.0,
"Cornelia ""Cor"" Aalten (-Strannood)",,18.0,168.0,,
Antti Sami Aalto,,26.0,186.0,96.0,Finland
"Einar Ferdinand ""Einari"" Aalto",,,,,
Jorma Ilmari Aalto,,22.0,182.0,76.5,
Jyri Tapani Aalto,,,172.0,70.0,
Minna Maarit Aalto,,30.0,159.0,55.5,
Pirjo Hannele Aalto (Mattila-),,32.0,171.0,65.0,
Arvo Ossian Aaltonen,,,,,
Juhamatti Tapio Aaltonen,,28.0,184.0,85.0,
Paavo Johannes Aaltonen,,,175.0,64.0,
Timo Antero Aaltonen,,,189.0,130.0,
Win Valdemar Aaltonen,,54.0,,,
Kjetil Andr Aamodt,,20.0,176.0,,Norway
Ragnhild Margrethe Aamodt,,,163.0,,
Andreea Aanei,,,,125.0,Romania
Fritz Aanes,,,187.0,89.0,
Nils Egil Aaness,,,,,
Alf Lied Aanning,,,,,
Agnes Erika Aanonsen (-Eyde),,17.0,169.0,,
Johan Aantjes,,,,,
Jan-Erik Aarberg,,43.0,,77.0,
,,47.0,,,
Willemien Aardenburg,,,,,
Pepijn Aardewijn,,,,,
Evald rma (rman-),,,174.0,,Estonia
Olav Augunson Aarnes,,,,,
Mika Lauri Aarnikka,,,,76.0,
Jamale (Djamel-) Aarrass (Ahrass-),,,,,France
Dagfinn Sverre Aarskog,,,190.0,98.0,
Stefan Remco Aartsen,,,194.0,78.0,
Ann Kristin Aarnes,,,,,
Karl Jan Aas,,,,,
Lars Thorlaksn Aas,,,,,
Roald Edgar Aas,,,,,
Rolf Aas,,,,,
Thomas Valentin Aas,,,,,Taifun
Morten Gjerdrum Aasen,,,,,
Meelis Aasme,,,,73.0,
,,29.0,,,
Hakon Aasns,,41.0,,,
Hans Aasns,,,,93.0,
,,45.0,,,
,,49.0,,,
,,53.0,,,
,,57.0,,,
Erling Rudolf Aastad,,,177.0,74.0,
Abdelhak Aatakni,,,,,Morocco
Moonika Aava,,,,,
Arvi Aavik,,,,106.0,
Nstor Abad Sanjun,,,167.0,,Spain
Patrick Abada,,,,,
Talaat Abada,,,,58.0,Egypt
