ID,ability,ability_description
1,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.
2,NULL,NULL
3,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. 
4,Thick Fat,The Pokémon is protected by a layer of thick fat which halves the damage taken from Fire- and Ice-type moves. 
5,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. 
6,Solar Power,Boosts the Sp. Atk stat in harsh sunlight but HP decreases every turn.
7,Tough Claws,Powers up moves that make direct contact. 
8,Drought,Turns the sunlight harsh when the Pokémon enters a battle.
9,Torrent,Powers up Water-type moves when the Pokémon's HP is low. 
10,Rain Dish,The Pokémon gradually regains HP in rain. 
11,Mega Launcher,Powers up aura and pulse moves. 
12,Rattled,Dark- Ghost- and Bug-type moves scare the Pokémon and boost its Speed stat.
13,Static,The Pokémon is charged with static electricity so contact with it may cause paralysis.
14,Klutz,The Pokémon can't use any held items.
15,Punk Rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.
16,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
17,Technician,Powers up the Pokémon's weaker moves.
18,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
19,Poison Point,Contact with the Pokémon may poison the attacker.
20,Rivalry,Becomes competitive and deals more damage to Pokémon of the same gender but deals less to Pokémon of the opposite gender.
21,Hustle,Boosts the Attack stat but lowers accuracy.
22,Sheer Force,Removes additional effects to increase the power of moves when attacking.
23,Iron Fist,Powers up punching moves.
24,Intimidate,The Pokémon intimidates opposing Pokémon upon entering battle lowering their Attack stat.
25,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.
26,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.
27,Compound Eyes,The Pokémon's compound eyes boost its accuracy.
28,Tinted Lens,The Pokémon can use not very effective moves to deal regular damage.
29,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.
30,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.
31,Sniper,Powers up moves if they become critical hits when attacking.
32,Adaptability,Powers up moves of the same type as the Pokémon.
33,Limber,Its limber body protects the Pokémon from paralysis.
34,Imposter,The Pokémon transforms itself into the Pokémon it's facing.
35,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.
36,Run Away,Enables a sure getaway from wild Pokémon.
37,Hydration,Heals status conditions if it's raining.
38,Inner Focus,The Pokémon's intensely focused and that protects the Pokémon from flinching.
39,Unseen Fist,The Pokémon can deal damage with moves that make physical contact even if the target is protected.
40,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.
41,Synchronize,The attacker will receive the same status condition if it inflicts a burn poison or paralysis to the Pokémon.
42,Pressure,By putting pressure on the opposing Pokémon it raises their PP usage.
43,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.
44,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.
45,Magnet Pull,Prevents Steel-type Pokémon from escaping using its magnetic force.
46,Sturdy,It cannot be knocked out with one hit. One-hit KO moves cannot knock it out either.
47,Analytic,Boosts move power when the Pokémon moves last.
48,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.
49,Aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit.
50,Cute Charm,Contact with the Pokémon may cause infatuation.
51,Magic Bounce,Reflects status moves instead of getting hit by them.
52,Friend Guard,Reduces damage done to allies.
53,Magic Guard,The Pokémon only takes damage from attacks.
54,Unaware,When attacking the Pokémon ignores the target Pokémon's stat changes.
55,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.
56,Snow Cloak,Boosts evasiveness in a hailstorm.
57,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.
58,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.
59,Frisk,When it enters a battle the Pokémon can check an opposing Pokémon's held item.
60,Infiltrator,Passes through the opposing Pokémon's barrier substitute and the like and strikes.
61,Stench,By releasing stench when attacking this Pokémon may cause the target to flinch.
62,Effect Spore,Contact with the Pokémon may inflict poison sleep or paralysis on its attacker.
63,Healer,Sometimes heals an ally's status condition.
64,Dry Skin,Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight and increases the damage received from Fire-type moves.
65,Damp,Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.
66,Wonder Skin,Makes status moves more likely to miss.
67,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.
68,Arena Trap,Prevents opposing Pokémon from fleeing.
69,Sand Force,Boosts the power of Rock- Ground- and Steel-type moves in a sandstorm.
70,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.
71,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.
72,Tangled Feet,Raises evasiveness if the Pokémon is confused.
73,Big Pecks,Protects the Pokémon from Defense-lowering effects.
74,Gluttony,Makes the Pokémon eat a held Berry when its HP drops to half or less which is sooner than usual.
75,Lightning Rod,The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves it boosts its Sp. Atk.
76,Surge Surfer,Doubles the Pokémon's Speed stat on Electric Terrain.
77,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.
78,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.
79,Pickup,The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle too.
80,Battle Armor,Hard armor protects the Pokémon from critical hits.
81,Steely Spirit,Powers up ally Pokémon's Steel-type moves.
82,Fur Coat,Halves the damage from physical moves.
83,Cloud Nine,Eliminates the effects of weather.
84,Swift Swim,Boosts the Pokémon's Speed stat in rain.
85,Harvest,May create another Berry after one is used.
86,Rock Head,Protects the Pokémon from recoil damage.
87,Reckless,Powers up moves that have recoil damage.
88,Unburden,Boosts the Speed stat if the Pokémon's held item is used or lost.
89,Own Tempo,This Pokémon has its own tempo and that prevents it from becoming confused.
90,Oblivious,The Pokémon is oblivious and that keeps it from being infatuated or falling for taunts.
91,Levitate,By floating in the air the Pokémon receives full immunity to all Ground-type moves.
92,Natural Cure,All status conditions heal when the Pokémon switches out.
93,Serene Grace,Boosts the likelihood of additional effects occurring when attacking.
94,Leaf Guard,Prevents status conditions in harsh sunlight.
95,Regenerator,Restores a little HP when withdrawn from battle.
96,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.
97,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.
98,Water Veil,The Pokémon is covered with a water veil which prevents the Pokémon from getting a burn.
99,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.
100,Filter,Reduces the power of supereffective attacks taken.
101,Forewarn,When it enters a battle the Pokémon can tell one of the moves an opposing Pokémon has.
102,Vital Spirit,The Pokémon is full of vitality and that prevents it from falling asleep.
103,Flame Body,Contact with the Pokémon may burn the attacker.
104,Hyper Cutter,The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.
105,Mold Breaker,Moves can be used on the target regardless of its Abilities.
106,Moxie,The Pokémon shows moxie and that boosts the Attack stat after knocking out any Pokémon.
107,Anger Point,The Pokémon is angered when it takes a critical hit and that maxes its Attack stat.
108,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.
109,Shell Armor,A hard shell protects the Pokémon from critical hits.
110,Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.
111,Volt Absorb,Restores HP if hit by an Electric-type move instead of taking damage.
112,Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.
113,Trace,When it enters a battle the Pokémon copies an opposing Pokémon's Ability.
114,Download,Compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.
115,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.
116,Immunity,The immune system of the Pokémon prevents it from getting poisoned.
117,Marvel Scale,The Pokémon's marvelous scales boost the Defense stat if it has a status condition.
118,Multiscale,Reduces the amount of damage the Pokémon takes while its HP is full.
119,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.
120,Huge Power,Doubles the Pokémon's Attack stat.
121,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.
122,Drizzle,The Pokémon makes it rain when it enters a battle.
123,Skill Link,Maximizes the number of times multistrike moves hit.
124,Speed Boost,Its Speed stat is boosted every turn.
125,Prankster,Gives priority to a status move.
126,Shadow Tag,This Pokémon steps on the opposing Pokémon's shadow to prevent it from escaping.
127,Telepathy,Anticipates an ally's attack and dodges it.
128,Overcoat,Protects the Pokémon from things like sand hail and powder.
129,Light Metal,Halves the Pokémon's weight.
130,Contrary,Makes stat changes have an opposite effect.
131,Pickpocket,Steals an item from an attacker that made direct contact.
132,Honey Gather,The Pokémon may gather Honey after a battle.
133,Magma Armor,The Pokémon is covered with hot magma which prevents the Pokémon from becoming frozen.
134,Moody,Raises one stat sharply and lowers another every turn.
135,Suction Cups,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.
136,Sand Stream,The Pokémon summons a sandstorm when it enters a battle.
137,Poison Heal,Restores HP if the Pokémon is poisoned instead of losing HP.
138,Truant,The Pokémon can't use a move if it had used a move on the previous turn.
139,Wonder Guard,Its mysterious power only lets supereffective moves hit the Pokémon.
140,Normalize,All the Pokémon's moves become Normal type. The power of those moves is boosted a little.
141,Stall,The Pokémon moves after all other Pokémon do.
142,Heavy Metal,Doubles the Pokémon's weight.
143,Pure Power,Using its pure power the Pokémon doubles its Attack stat.
144,Liquid Ooze,The oozed liquid has a strong stench which damages attackers using any draining move.
145,Sticky Hold,Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.
146,Rough Skin,This Pokémon inflicts damage with its rough skin to the attacker on contact.
147,Simple,The stat changes the Pokémon receives are doubled.
148,Solid Rock,Reduces the power of supereffective attacks taken.
149,White Smoke,The Pokémon is protected by its white smoke which prevents other Pokémon from lowering its stats.
150,Toxic Boost,Powers up physical attacks when the Pokémon is poisoned.
151,Storm Drain,Draws in all Water-type moves. Instead of being hit by Water-type moves it boosts its Sp. Atk.
152,Forecast,The Pokémon transforms with the weather to change its type to Water Fire or Ice.
153,Color Change,The Pokémon's type becomes the type of the move used on it.
154,Protean,Changes the Pokémon's type to the type of the move it's about to use.
155,Cursed Body,May disable a move used on the Pokémon.
156,Justified,Being hit by a Dark-type move boosts the Attack stat of the Pokémon for justice.
157,Ice Body,The Pokémon gradually regains HP in a hailstorm.
158,Clear Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.
159,Air Lock,Eliminates the effects of weather.
160,Defiant,Boosts the Pokémon's Attack stat sharply when its stats are lowered.
161,Flower Gift,Boosts the Attack and Sp. Def stats of itself and allies in harsh sunlight.
162,Flare Boost,Powers up special attacks when the Pokémon is burned.
163,Heatproof,The heatproof body of the Pokémon halves the damage from Fire-type moves that hit it.
164,Poison Touch,May poison a target when the Pokémon makes contact.
165,Motor Drive,Boosts its Speed stat if hit by an Electric-type move instead of taking damage.
166,Slow Start,For five turns the Pokémon's Attack and Speed stats are halved.
167,Bad Dreams,Reduces the HP of sleeping opposing Pokémon.
168,Multitype,Changes the Pokémon's type to match the Plate or Z-Crystal it holds.
169,Victory Star,Boosts the accuracy of its allies and itself.
170,Symbiosis,The Pokémon passes its item to an ally that has used up an item.
171,Zen Mode,Changes the Pokémon's shape when HP is half or less.
172,Mummy,Contact with the Pokémon changes the attacker's Ability to Mummy.
173,Defeatist,Halves the Pokémon's Attack and Sp. Atk stats when its HP becomes half or less.
174,Illusion,Comes out disguised as the Pokémon in the party's last spot.
175,Iron Barbs,Inflicts damage on the attacker upon contact with iron barbs.
176,Turboblaze,Moves can be used on the target regardless of its Abilities.
177,Teravolt,Moves can be used on the target regardless of its Abilities.
178,Bulletproof,Protects the Pokémon from some ball and bomb moves.
179,Magician,The Pokémon steals the held item of a Pokémon it hits with a move.
180,Cheek Pouch,Restores HP as well when the Pokémon eats a Berry.
