https://www.kaggle.com/mrdew25/pokemon-database,,,,,,,,,,,,,,,,,,,,,,,,,,
Pokemon Id,Pokedex Number,Pokemon Name,Legendary Type,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Male Ratio,Female Ratio,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Catch Rate,Experience Growth,Primary Egg Group,Secondary Egg Group
1,1,"""Bulbasaur""",NULL,"""Grass""","""Poison""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,87.5,12.5,"""Red / Blue / Yellow""","""Kanto""",45,49,49,65,0,45,253,45,"""Medium Slow""","""Monster""","""Grass"""
2,2,"""Ivysaur""",NULL,"""Grass""","""Poison""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,87.5,12.5,"""Red / Blue / Yellow""","""Kanto""",60,62,63,80,0,60,325,45,"""Medium Slow""","""Monster""","""Grass"""
3,3,"""Venusaur""",NULL,"""Grass""","""Poison""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,87.5,12.5,"""Red / Blue / Yellow""","""Kanto""",80,82,83,100,0,80,425,45,"""Medium Slow""","""Monster""","""Grass"""
4,3,"""Venusaur""",NULL,"""Grass""","""Poison""","""Thick Fat""","""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. """,NULL,NULL,NULL,NULL,87.5,12.5,"""X / Y""","""Kalos""",80,100,123,122,120,80,625,45,"""Medium Slow""","""Monster""","""Grass"""
5,4,"""Charmander""",NULL,"""Fire""",NULL,"""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""",87.5,12.5,"""Red / Blue / Yellow""","""Kanto""",39,52,43,50,0,65,249,45,"""Medium Slow""","""Monster""","""Dragon"""
6,5,"""Charmeleon""",NULL,"""Fire""",NULL,"""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""",87.5,12.5,"""Red / Blue / Yellow""","""Kanto""",58,64,58,65,0,80,325,45,"""Medium Slow""","""Monster""","""Dragon"""
7,6,"""Charizard""",NULL,"""Fire""","""Flying""","""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""",87.5,12.5,"""Red / Blue / Yellow""","""Kanto""",78,84,78,85,0,100,425,45,"""Medium Slow""","""Monster""","""Dragon"""
8,6,"""Charizard""",NULL,"""Fire""","""Dragon""","""Tough Claws""","""Powers up moves that make direct contact. """,NULL,NULL,NULL,NULL,87.5,12.5,"""X / Y""","""Kalos""",78,130,111,130,85,100,634,45,"""Medium Slow""","""Monster""","""Dragon"""
9,6,"""Charizard""",NULL,"""Fire""","""Flying""","""Drought""","""Turns the sunlight harsh when the Pokémon enters a battle.""",NULL,NULL,NULL,NULL,87.5,12.5,"""X / Y""","""Kalos""",78,104,78,159,115,100,634,45,"""Medium Slow""","""Monster""","""Dragon"""
10,7,"""Squirtle""",NULL,"""Water""",NULL,"""Torrent""","""Powers up Water-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Rain Dish""","""The Pokémon gradually regains HP in rain. """,87.5,12.5,"""Red / Blue / Yellow""","""Kanto""",44,48,65,50,0,43,250,45,"""Medium Slow""","""Monster""","""Water 1"""
