id,pokedex_number,name,legendary_id,type1_id,type2_id,ability1_id,ability2_id,hidden_ability,health,attack,defense,special_attack,special_defense,speed,region_id,catch_rate,growth_type_id,male_percent,game_id,egg_group1_id,egg_group2_id
1,1,bulbasaur,1,1,5,1,2,3,45,49,49,65,0,45,1,45,1,87.5,1,1,11
2,2,ivysaur,1,1,5,1,2,3,60,62,63,80,0,60,1,45,1,87.5,1,1,11
3,3,venusaur,1,1,5,1,2,3,80,82,83,100,0,80,1,45,1,87.5,1,1,11
4,3,venusaur,1,1,5,4,2,2,80,100,123,122,120,80,2,45,1,87.5,2,1,11
5,4,charmander,1,2,52,5,2,6,39,52,43,50,0,65,1,45,1,87.5,1,1,15
6,5,charmeleon,1,2,52,5,2,6,58,64,58,65,0,80,1,45,1,87.5,1,1,15
7,6,charizard,1,2,18,5,2,6,78,84,78,85,0,100,1,45,1,87.5,1,1,15
8,6,charizard,1,2,16,7,2,2,78,130,111,130,85,100,2,45,1,87.5,2,1,15
9,6,charizard,1,2,18,8,2,2,78,104,78,159,115,100,2,45,1,87.5,2,1,15
10,7,squirtle,1,3,52,9,2,10,44,48,65,50,0,43,1,45,1,87.5,1,1,8
11,8,wartortle,1,3,52,9,2,10,59,63,80,65,0,58,1,45,1,87.5,1,1,8
12,9,blastoise,1,3,52,9,2,10,79,83,100,85,0,78,1,45,1,87.5,1,1,8
13,9,blastoise,1,3,52,11,2,2,79,103,120,135,115,78,2,45,1,87.5,2,1,8
14,848,toxel,1,4,5,12,13,14,40,38,35,54,35,40,3,75,1,50,3,2,52
15,849,toxtricity,1,4,5,15,16,17,75,98,70,114,70,75,3,45,1,50,3,3,52
16,849,toxtricity,1,4,5,15,18,17,75,98,70,114,70,75,3,45,1,50,3,3,52
17,30,nidorina,1,5,52,19,20,21,70,62,67,55,0,56,1,120,1,0,1,2,52
18,31,nidoqueen,1,5,13,19,20,22,90,92,87,75,85,76,1,45,1,0,1,2,52
19,392,infernape,1,2,9,5,2,23,76,104,71,104,71,108,4,45,1,87.5,4,4,3
20,403,shinx,1,4,52,20,24,25,45,65,34,40,34,45,4,235,1,50,4,4,52
21,404,luxio,1,4,52,20,24,25,60,85,49,60,49,60,4,120,1,50,4,4,52
22,405,luxray,1,4,52,20,24,25,80,120,79,95,79,70,4,45,1,50,4,4,52
23,11,metapod,1,6,52,26,2,2,50,20,55,25,0,30,1,120,2,50,1,5,52
24,12,butterfree,1,6,18,27,2,28,60,45,50,90,80,70,1,45,2,50,1,5,52
25,679,honedge,1,7,17,29,2,2,45,80,100,35,37,28,2,180,2,50,2,6,52
26,680,doublade,1,7,17,29,2,2,59,110,150,45,49,35,2,90,2,50,2,6,52
27,15,beedrill,1,6,5,30,2,31,65,90,40,45,80,75,1,45,2,50,1,5,52
28,15,beedrill,1,6,5,32,2,2,65,150,40,15,80,145,2,45,2,50,5,5,52
29,132,ditto,1,8,52,33,2,34,48,48,48,48,0,48,1,35,2,0,1,7,52
30,14,kakuna,1,6,5,26,2,2,45,25,50,25,0,35,1,120,2,50,1,5,52
31,13,weedle,1,6,5,35,2,36,40,35,30,20,0,50,1,255,2,50,1,5,52
32,10,caterpie,1,6,52,35,2,36,45,30,35,20,0,45,1,255,2,50,1,5,52
33,29,nidoran (female),1,5,52,19,20,21,55,47,52,40,0,41,1,235,1,0,1,1,4
34,390,chimchar,1,2,52,5,2,23,44,58,44,58,44,61,4,45,1,87.5,4,4,3
35,391,monferno,1,2,9,5,2,23,64,78,52,78,52,81,4,45,1,87.5,4,4,3
36,489,phione,2,3,52,37,2,2,80,80,80,80,80,80,4,30,3,0,4,8,9
37,490,manaphy,2,3,52,37,2,2,100,100,100,100,100,100,4,3,3,0,4,8,9
38,891,kubfu,3,9,52,38,2,2,60,90,60,53,50,72,3,3,3,87.5,3,2,52
39,892,urshifu,3,9,14,39,2,2,100,130,100,63,60,97,3,3,3,87.5,3,2,52
40,892,urshifu,3,9,3,39,2,2,100,130,100,63,60,97,3,3,3,87.5,3,2,52
41,898,calyrex,4,10,1,40,2,2,100,80,80,80,80,80,3,3,3,0,3,2,52
42,151,mew,2,10,52,41,2,2,100,100,100,100,0,100,1,45,1,0,1,2,52
43,150,mewtwo,4,10,52,42,2,40,106,110,90,154,0,130,1,3,3,0,1,2,52
44,150,mewtwo,4,10,52,43,2,2,106,190,100,154,100,130,2,3,3,0,2,2,52
45,150,mewtwo,4,10,52,44,2,2,106,150,70,194,120,140,2,3,3,0,2,2,52
46,81,magnemite,1,4,7,45,46,47,25,35,70,95,0,45,1,190,2,0,1,6,52
47,100,voltorb,1,4,52,48,13,49,40,30,50,55,0,100,1,190,2,0,1,6,52
48,32,nidoran (male),1,5,52,19,20,21,46,57,40,40,0,50,1,235,1,100,1,1,4
49,33,nidorino,1,5,52,19,20,21,61,72,57,55,0,65,1,120,1,100,1,1,4
50,34,nidoking,1,5,13,19,20,22,81,102,77,85,75,85,1,45,1,100,1,1,4
51,173,cleffa,1,11,52,50,51,52,50,25,28,45,55,15,5,150,4,25,6,2,52
52,35,clefairy,1,11,52,50,53,52,70,45,48,60,0,35,1,150,4,25,1,9,52
53,36,clefable,1,11,52,50,53,54,95,70,73,95,90,60,1,25,4,25,1,9,52
54,37,vulpix,1,2,52,55,2,8,38,41,40,65,0,65,1,190,2,25,1,4,52
55,37,vulpix,1,12,52,56,2,57,38,41,40,50,65,65,6,190,2,25,7,4,52
56,38,ninetales,1,2,52,55,2,8,73,76,75,100,0,100,1,75,2,25,1,4,52
57,38,ninetales,1,12,11,56,2,57,73,67,75,81,100,109,6,75,2,25,7,4,52
58,174,igglybuff,1,8,11,50,58,52,90,30,15,40,20,15,5,170,4,25,6,2,52
59,39,jigglypuff,1,8,11,50,58,52,115,45,20,25,0,20,1,170,4,25,1,9,52
60,40,wigglytuff,1,8,11,50,58,59,140,70,45,85,50,45,1,50,4,25,1,9,52
61,41,zubat,1,5,18,38,2,60,40,45,35,40,0,55,1,255,2,50,1,10,52
62,42,golbat,1,5,18,38,2,60,75,80,70,75,0,95,1,90,2,50,1,10,52
63,169,crobat,1,5,18,38,2,60,85,90,80,70,80,130,5,90,2,50,6,10,52
64,43,oddish,1,1,5,3,2,36,45,50,55,75,0,30,1,255,1,50,1,11,52
65,44,gloom,1,1,5,3,2,61,60,65,70,85,0,40,1,120,1,50,1,11,52
66,45,vileplume,1,1,5,3,2,62,75,80,85,110,90,50,1,45,1,50,1,11,52
67,182,bellossom,1,1,52,3,2,63,75,80,95,90,100,50,5,45,1,50,6,11,52
68,46,paras,1,6,1,62,64,65,35,70,55,55,0,25,1,190,2,50,1,5,11
69,47,parasect,1,6,1,62,64,65,60,95,80,80,0,30,1,75,2,50,1,5,11
