against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,type1,type2,combined type
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,grass,poison,grass_poison
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,fire,,fire
0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,fire,flying,fire_flying
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,water,,water
1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,bug,,bug
0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,bug,flying,bug_flying
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,bug,poison,bug_poison
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,normal,flying,normal_flying
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,normal,dark,normal_dark
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,poison,,poison
1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,electric,,electric
1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,electric,electric,electric_electric
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,ground,ice,ground_ice
0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,poison,ground,poison_ground
0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,fairy,,fairy
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,fire,ice,fire_ice
0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,normal,fairy,normal_fairy
0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,poison,flying,poison_flying
2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,bug,grass,bug_grass
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,ground,ground,ground_ground
0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,fighting,,fighting
0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,water,fighting,water_fighting
2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,psychic,,psychic
0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,water,poison,water_poison
1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,rock,ground,rock_ground
2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,water,psychic,water_psychic
0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,electric,steel,electric_steel
1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,water,ice,water_ice
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,poison,poison,poison_poison
0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,ghost,poison,ghost_poison
4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,grass,psychic,grass_psychic
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,ground,,ground
1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,ground,fire,ground_fire
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,normal,,normal
1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,ground,rock,ground_rock
2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,grass,,grass
1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,psychic,fairy,psychic_fairy
2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,ice,psychic,ice_psychic
0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,water,flying,water_flying
1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,rock,water,rock_water
0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,rock,flying,rock_flying
0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,ice,flying,ice_flying
0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,electric,flying,electric_flying
1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,dragon,,dragon
0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,dragon,flying,dragon_flying
1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,water,electric,water_electric
0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,fairy,flying,fairy_flying
1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,psychic,flying,psychic_flying
0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,water,fairy,water_fairy
1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,rock,,rock
1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,grass,flying,grass_flying
1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,water,ground,water_ground
2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,dark,,dark
1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,dark,flying,dark_flying
0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,ghost,,ghost
2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,normal,psychic,normal_psychic
0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,bug,steel,bug_steel
0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,ground,flying,ground_flying
0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,steel,ground,steel_ground
1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,bug,rock,bug_rock
0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,bug,fighting,bug_fighting
2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,dark,ice,dark_ice
0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,fire,rock,fire_rock
1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,ice,ground,ice_ground
1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,water,rock,water_rock
0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,steel,flying,steel_flying
1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,dark,fire,dark_fire
1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,water,dragon,water_dragon
2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,rock,dark,rock_dark
4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,psychic,grass,psychic_grass
0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,fire,fighting,fire_fighting
2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,water,grass,water_grass
4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,grass,dark,grass_dark
1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,bug,water,bug_water
1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,grass,fighting,grass_fighting
1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2,bug,ground,bug_ground
0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1,bug,ghost,bug_ghost
1,1,1,1,2,0,1,1,1,1,1,1,0,0.5,0,1,1,1,dark,ghost,dark_ghost
0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1,steel,fairy,steel_fairy
